country_name,country_code,continent,LifeExpNo_00_1975,LifeExp_00_1975,LE_00_1975,LifeExpNo_00_2010,LifeExp_00_2010,LE_00_2010,LifeExpNo_45_2050,LifeExp_45_2050,LE_45_2050,LifeExpNo_85_2050,LifeExp_85_2050,LE_85_2050
Morocco,MAR,Africa,51.24359741180735,51.233631324503534,0.9990033912696183,70.82874737276313,70.76616141813295,0.993741404536982,80.61768442114793,80.44217804123564,0.9824493620087708,80.61768442114793,80.40862058123042,0.9790936160082495
Republic of Moldova,MDA,Asia,64.34770791683741,64.10313112536552,0.9755423208528115,69.35691120482996,68.6376293391448,0.9280718134314838,75.33401923926505,73.92130331128699,0.8587284072021945,75.33401923926505,73.75663743228124,0.8422618193016191
Madagascar,MDG,Africa,49.52712898612314,49.502473049110165,0.9975344062987027,62.87292495261409,62.75032263469362,0.9877397682079525,72.27313091384875,71.96616578250341,0.9693034868654664,72.27313091384875,71.9270370924294,0.9653906178580656
Mexico,MEX,America,62.81046403044716,62.80531258697915,0.9994848556531991,74.19009165165284,74.16529744651731,0.9975205794864479,80.04524413136707,79.99280719177887,0.9947563060411795,80.04524413136707,79.98510576264583,0.9939861631278759
The former Yugoslav Republic of Macedonia,MKD,Europe,67.00948869629416,66.9987271406895,0.9989238444395341,75.11872828087327,75.0823980971244,0.9963669816251126,82.14983145914724,82.06952363362382,0.991969217447658,82.14983145914724,82.06451143130954,0.9914679972162304
Mali,MLI,Africa,36.2253014880384,36.21299632657376,0.9987694838535361,56.381725503646884,56.25791093506215,0.9876185431415265,65.51292032383697,65.19706416958579,0.968414384574882,65.51292032383697,65.16724681486221,0.9654326491025245
Burma,MMR,Asia,52.51546145082752,52.51423640646398,0.9998774955636456,63.32936422996653,63.325596088408915,0.9996231858442386,72.04246877154759,72.03313992144935,0.9990671149901758,72.04246877154759,72.03127465422808,0.9988805882680495
Montenegro,MNE,Europe,71.36619546352469,71.33144539389417,0.9965249930369481,76.13873245041297,76.02883624753667,0.98901037971237,82.20031815858063,81.98731304147573,0.9786994882895101,82.20031815858063,81.9590248216303,0.9758706663049665
Mongolia,MNG,Asia,55.649974612797635,55.145028087089976,0.9495053474292341,67.18221873649873,65.89124580906288,0.8709027072564155,79.11541121106453,75.98887801227983,0.6873466801215301,79.11541121106453,75.34502206354095,0.6229610852476426
Mozambique,MOZ,Africa,42.581605497529615,42.55150835230779,0.9969902854778177,54.198358510091985,54.11525345406982,0.9916894943977838,68.33434003807491,68.07689423474187,0.9742554196666958,68.33434003807491,68.04277073581983,0.9708430697744916
Mauritania,MRT,Africa,52.64961585211083,52.6373924867106,0.9987776634599775,63.10487249416076,63.032892877214756,0.9928020383053997,71.43191106173126,71.27057690758184,0.9838665845850585,71.43191106173126,71.2410008676112,0.9809089805879949
Malawi,MWI,Africa,40.22201233465553,40.20317494805829,0.9981162613402759,56.38056968722889,56.29729854686211,0.9916728859633217,70.1221087301382,69.89079041086605,0.9768681680727852,70.1221087301382,69.85588787195698,0.9733779141818786
Malaysia,MYS,Asia,65.71181402881668,65.71074671555492,0.9998932686738243,74.44231175983518,74.43329098008707,0.9990979220251888,80.82748081302091,80.80194486867495,0.9974464055654039,80.82748081302091,80.79673665486355,0.9969255841842639
Namibia,NAM,Africa,56.54698345075312,56.504776576838985,0.9957793126085868,56.01525625192599,55.91069562080673,0.9895439368880737,68.28092025731421,67.98193267929692,0.9701012421982711,68.28092025731421,67.95317913695831,0.9672258879644104
New Caledonia,NCL,Oceania,63.38664033600009,63.38664033600009,1.0,78.20541782578279,78.20541782578279,1.0,85.11614307932088,85.11614307932088,1.0,85.11614307932088,85.11614307932088,1.0
Niger,NER,Africa,36.587610934766104,36.57615287435009,0.9988541939583989,58.366758851180755,58.24602997148496,0.9879271120304203,69.48162795089425,69.15887165244395,0.9677243701549699,69.48162795089425,69.12841419826822,0.9646786247373967
Nigeria,NGA,Africa,43.66226268985824,43.63923358868544,0.9976970898827204,50.94482041428296,50.88122765317711,0.9936407238894155,59.62434633010638,59.460360428200765,0.9836014098094388,59.62434633010638,59.48079032818921,0.9856443998082831
Nicaragua,NIC,America,56.03555138547711,56.034294361120935,0.9998742975643822,72.00904469721982,71.99371424903701,0.9984669551817191,79.37520634758415,79.32884046533538,0.9953634117751221,79.37520634758415,79.31815458356117,0.9942948235977014
Netherlands,NLD,Europe,74.55427709619163,74.55212359093801,0.9997846494746383,80.81864564429358,80.81036683501482,0.9991721190721237,86.02311424287893,86.00665028218351,0.9983536039304581,86.02311424287893,86.00195134343876,0.997883710055983
Norway,NOR,Europe,74.81696628903525,74.79982339759404,0.9982857108558789,81.04011127163439,80.92888714676111,0.9888775875126725,86.92931834553912,86.67229033923206,0.9742971993692947,86.92931834553912,86.6367677067815,0.9707449361242382
Nepal,NPL,Asia,45.039694301596505,45.00722342953381,0.9967529127937305,66.81384914590481,66.69551069778025,0.9881661551875439,76.86594120968276,76.47944720373123,0.9613505994048467,76.86594120968276,76.37098194948226,0.9505040739799497
New Zealand,NZL,Oceania,72.20128198473192,72.19382886420334,0.9992546879471419,81.1018841739535,81.07784885207127,0.9975964678117777,86.61565793399433,86.55960830948634,0.9943950375492008,86.61565793399433,86.55161530065601,0.9935957366661683
Oman,OMN,Asia,53.29725200450336,53.283841197504586,0.9986589193001223,76.26953043136854,76.16464630073533,0.9895115869366791,83.9912078435979,83.64220677337379,0.965099892977588,83.9912078435979,83.60760672882986,0.9616398885231959
Pakistan,PAK,Asia,55.904846447886285,55.89030950210317,0.9985463054216887,64.4360610706793,64.38815915063361,0.9952098079954311,70.8812600918528,70.78393209563363,0.9902672003780836,70.8812600918528,70.76955381442397,0.9888293722571178
Panama,PAN,America,68.07891491979514,68.07762917732292,0.999871425752778,76.44793656714855,76.4370748036529,0.998913823650436,83.23968732832363,83.2055254640512,0.996583813572758,83.23968732832363,83.20027661703094,0.9960589288707311
Peru,PER,America,57.90468865759733,57.889870616988645,0.9985181959391312,73.71057042145648,73.5788344829205,0.9868264061464018,81.63832369182138,81.29850232382164,0.9660178632000254,81.63832369182138,81.23093670747139,0.9592613015650002
